编号,功能点,详细说明
MK-30,生产进度回传,生产执行过程中的开工完工质检异常延期等状态可实时回传CRM，方便销售同步客户交付进度。
MK-31,定制化需求传递,针对定制化订单可将客户个性化配置工艺要求图纸说明等信息准确传递到生产执行环节。
MK-32,销售预测驱动采购建议,基于未来销量预测当前库存安全库存和在途物料，自动生成采购建议，辅助采购提前备料。
MK-33,安全库存预警,当成品或原材料库存低于安全库存阈值时自动预警，避免因缺货影响销售与生产交付。
MK-34,原材料需求联动分析,根据销售订单生产计划BOM和库存情况自动测算原材料需求量，为采购计划提供依据。
MK-35,采购计划自动生成,系统可按预测需求订单需求库存情况和供应周期自动生成采购计划，支持人工确认后执行。
MK-36,供应商协同信息共享,支持向供应商共享采购需求到货计划质量反馈和交期要求，提升供应链协同效率。
MK-37,到货计划跟踪,对采购订单到货时间数量批次状态进行跟踪，及时识别延期到货和缺料风险。
MK-38,缺料风险预警,当订单交付所需关键物料不足或供应延迟时自动预警，并提示可能受影响的订单与客户。
MK-39,物流配送计划联动,根据订单交付日期库存备货情况和客户收货要求，自动生成物流配送建议方案。
MK-40,订单履约状态跟踪,从接单备货生产发运签收到回款的全过程状态可视化展示，提升订单履约透明度。
MK-41,自动生成采购生产物流方案,系统围绕销售预测结果自动生成采购计划生产排程发货计划等建议方案，实现半自动决策支持。
MK-42,多方案比选,针对采购生产物流等场景支持从成本交期资源占用履约风险等维度进行多方案对比分析。
MK-43,半自动审批下发,对于系统生成的采购生产物流计划，业务人员可在线审核调整确认后再一键下发执行。
MK-44,异常自动调整建议,当发生缺料延期插单需求变化等异常情况时，系统自动提出调拨改排延期交付等调整建议。
MK-45,订单优先级智能排序,系统可按照客户等级利润水平交付紧急度合作重要性等规则，对订单任务智能排序。
MK-46,资源冲突提示,在计划编制过程中自动识别设备人员物料仓储运输等资源冲突，并提示处理建议。
MK-47,模拟排产与仿真分析,支持对不同订单组合产能安排和交付方案进行模拟，评估执行效果后再正式下发。
MK-48,跨部门协同工作台,建立销售财务生产供应链统一工作台，集中展示待办任务预警信息审批事项和协同进展。
MK-49,统一审批流配置,支持针对报价合同订单授信采购生产变更等业务配置统一审批流程，实现跨部门流转闭环。
MK-50,关键节点消息提醒,对商机推进合同审批订单异常缺料延期回款等关键节点自动消息提醒，保证协同及时性。
MK-51,异常工单闭环管理,针对交期异常质量异常缺料异常回款异常等问题自动生成工单，并跟踪责任人和处理结果。
MK-52,数据共享与权限控制,实现销售财务生产供应链之间的数据共享，同时基于角色岗位组织进行权限控制和数据隔离。
MK-53,协同日志留痕,系统记录所有关键业务动作审批流转数据变更和协同处理过程，满足审计与追溯要求。
MK-54,移动端协同处理,支持销售管理层和相关部门通过移动端进行查询审批提醒处理和客户跟进。
MK-55,销售预测看板,可视化展示销售目标完成情况预测销量重点客户重点产品和趋势变化，支撑管理决策。
MK-56,客户分析看板,集中展示客户结构行业分布区域分布活跃度复购率流失风险等核心指标。
MK-57,订单履约看板,展示订单数量交付进度延期风险发货状态签收状态和履约达成率。
MK-58,回款分析看板,展示应收账款账龄结构逾期金额回款计划完成情况和客户回款排名。
MK-59,产能与排产看板,展示各产线设备班组的负荷情况排产计划执行进度和瓶颈资源。
MK-60,库存与缺料看板,展示库存余额周转率安全库存占比缺料预警在途物料等指标。
MK-61,供应链风险看板,展示供应商交付准时率采购到货异常质量异常及供应链整体风险状况。
MK-62,经营驾驶舱,面向管理层汇总销售财务生产供应链核心经营指标，实现一屏掌握经营态势。
MK-63,KPI指标监控,持续监控销售增长率订单转化率交付达成率库存周转率回款率等关键KPI。
MK-64,预警中心,统一汇总客户流失订单异常缺料风险延期交付逾期回款等预警信息并支持快速处理。
MK-65,主数据管理,统一维护客户产品物料供应商组织仓库等主数据，保障多系统协同的一致性。
MK-66,系统接口集成,提供标准API接口与ERP MES WMS SCM 财务系统等集成，实现数据同步与业务联动。
MK-67,数据同步与清洗,支持多来源数据采集清洗映射去重和校验，提升数据质量与分析准确性。
MK-68,角色权限管理,支持菜单权限按钮权限数据权限等多层级配置，满足企业精细化管理要求。
MK-69,消息通知与订阅,支持站内消息短信邮件企业微信钉钉等通知方式，并可按角色订阅关键提醒。
MK-70,报表导出与分析,支持功能清单业务报表经营报表按Excel等格式导出，便于汇报归档和二次分析。
MK-71,AI模型配置与训练管理,支持预测模型参数配置训练发布效果评估和优化迭代，持续提升预测准确率。
